醫事機構代碼,成人口罩總剩餘數,兒童口罩剩餘數,來源資料時間
5901152131,0,50,2020/02/10 18:00:38
5901152293,2,26,2020/02/10 18:00:38
5901152453,0,12,2020/02/10 18:00:38
5901152471,22,82,2020/02/10 18:00:38
5901152604,0,15,2020/02/10 18:00:38
5901152640,0,48,2020/02/10 18:00:38
5901152659,0,2,2020/02/10 18:00:38
5901152686,0,50,2020/02/10 18:00:38
5901152720,4,4,2020/02/10 18:00:38
5901152739,192,72,2020/02/10 18:00:38
5901152748,0,28,2020/02/10 18:00:38
5901152793,0,64,2020/02/10 18:00:38
5901152837,2,38,2020/02/10 18:00:38
5901152882,0,92,2020/02/10 18:00:38
5901152971,0,14,2020/02/10 18:00:38
5901153058,0,48,2020/02/10 18:00:38
5901153110,0,24,2020/02/10 18:00:38
5901153245,0,30,2020/02/10 18:00:38
5901153272,0,6,2020/02/10 18:00:38
5901153325,46,74,2020/02/10 18:00:38
5901153405,7,58,2020/02/10 18:00:38
5901153432,0,12,2020/02/10 18:00:38
5901153496,0,18,2020/02/10 18:00:38
5901153503,6,54,2020/02/10 18:00:38
5901153521,0,36,2020/02/10 18:00:38
5901153567,0,20,2020/02/10 18:00:38
5901153585,0,18,2020/02/10 18:00:38
5901153656,0,52,2020/02/10 18:00:38
5901153665,0,48,2020/02/10 18:00:38
5901153683,0,48,2020/02/10 18:00:38
5901153745,4,0,2020/02/10 18:00:38
5901153781,0,50,2020/02/10 18:00:38
5901153790,0,28,2020/02/10 18:00:38
5901153807,8,2,2020/02/10 18:00:38
5901153816,0,2,2020/02/10 18:00:38
5901153825,0,32,2020/02/10 18:00:38
5901153852,6,30,2020/02/10 18:00:38
5901153861,0,4,2020/02/10 18:00:38
5901153870,2,34,2020/02/10 18:00:38
5901153889,14,16,2020/02/10 18:00:38
5901160044,0,2,2020/02/10 18:00:38
5901160053,32,10,2020/02/10 18:00:38
5901160062,0,30,2020/02/10 18:00:38
5901160099,0,26,2020/02/10 18:00:38
5901160142,4,52,2020/02/10 18:00:38
5901160197,0,46,2020/02/10 18:00:38
5901160222,0,26,2020/02/10 18:00:38
5901160277,0,18,2020/02/10 18:00:38
5901160286,0,14,2020/02/10 18:00:38
5901160320,0,20,2020/02/10 18:00:38
5901160400,200,98,2020/02/10 18:00:38
5901160428,6,34,2020/02/10 18:00:38
5901160517,0,48,2020/02/10 18:00:38
5901160562,4,30,2020/02/10 18:00:38
5901160704,0,20,2020/02/10 18:00:38
5901160802,2,34,2020/02/10 18:00:38
5901161890,19,5,2020/02/10 18:00:38
5901161934,0,4,2020/02/10 18:00:38
5901161961,3,76,2020/02/10 18:00:38
5901161998,0,42,2020/02/10 18:00:38
5901162002,0,44,2020/02/10 18:00:38
5901162119,0,18,2020/02/10 18:00:38
5901162173,0,22,2020/02/10 18:00:38
5901162182,0,18,2020/02/10 18:00:38
5901162306,2,14,2020/02/10 18:00:38
5901162459,0,32,2020/02/10 18:00:38
5901162477,0,32,2020/02/10 18:00:38
5901162520,0,22,2020/02/10 18:00:38
